,date,rating_review,reviews,polarity_score,subjectivity_score
0,14-03-2022,5.0,restaurant recommended u hotel atmosphere lively busy food excellent good mix standard tapa fresh today dish well priced worth visit,0.39999999999999997,0.41666666666666674
1,07-03-2022,4.0,wait table glad food really good mixture local tourist nice atmosphere good selection tapa including calamari mixed fried fish iberico ham beef foie gras along tomato bread bill beer large glass white wine water plus tapa euro good value great quality food give try,0.42142857142857143,0.5228571428571429
2,28-02-2022,2.0,went last night night trip barcelona disappointed arrived early didnt queue sat back annoyed waiter asking water tiniest bottle ever ordered shrimp garlic good tomato bread average tortilla average ham good overall would definitely go back felt super touristy food almost like cafeteria food much better tapa place trip disappointed last meal dont get hype,0.008888888888888872,0.3933333333333333
3,21-02-2022,5.0,hotel recommended restaurant fabulous great tapa reasonable price twice different item time excellent nice atmosphere usually que well worth wait,0.38125000000000003,0.6625
4,21-02-2022,5.0,fantastic meal cervecería catalana food excellent service good really cool atmosphere great selection tapa reasonably priced highly recommend,0.5157142857142858,0.72
5,7-02-2022 ,5.0,seen review online friend recommendation try glad garlic prawn tomato bread best also tapa beer finished churos euro well worth would definitely go back inside bright modern expecting nice atmosphere great food,0.5125000000000001,0.53125
6,29-01-2022 ,5.0,excellent place high quality small dish wide offer always full need queue go plenty time atmosphere great service fast price reasonable taste local cuisine several small dish go,0.19181818181818186,0.4763636363636363
7,25-01-2022 ,5.0,found restaurant chance loved good place quality food good treatment waiter dessert ordered crema catalana best ive ever tasted euro amazing,0.74,0.6399999999999999
8,20-01-2022 ,5.0,cerveceria catalana simply star category tapa outstanding service outstanding price excellent barcelona night ate night really enjoyed experience,0.5,0.7614285714285713
9,29-12-2021 ,4.0,great classic tapa almost dished ordered amazing food come quickly best order much time staff friendly however appear bit rushed place seems waiting line outside time really,0.4177083333333334,0.38333333333333336
10,27-12-2021 ,5.0,food cerveceria catalana delicious price great friend ordered lot thing pay reasonable price service also good recommend,0.675,0.7375
11,20-12-2021 ,5.0,enjoyed tapa restaurant everything good especially garlic prawn went back restaurant day later also one sister restaurant vinitus,0.24,0.45999999999999996
12,11-12-2021 ,5.0,first discovered place first visit ate x hotel min walk still best,0.5,0.3222222222222222
13,11-12-2021 ,5.0,recommended place tapa tripadvisor search dont reservation waiting list outside first time unlucky went late wait hour reach somewhere quit mesmerizing view tapa served outside table left made even curious try place visited next time went earlier still wait able seated mawel reception apologized getting table last time seated table end dining hall friendly attending server took order gave wonderful suggestion lovely american couple sitting next table also joined tapa discussion added advise double help ordered shrimp al ajillo tomato bread suggestion server dip bread shrimp sauce also ordered tapa de mercado suggestion american friend entrecote steak drink ordered glass beer shrimp tinto de verano summer red drink steak order delivered time despite packed restaurant hard keep quality high busy place doesnt take reservation say nailed every dish shrimp perfectly cooked sauce heavenly trying bread suggested server perfect idea took taste heaven entrecote steak perfectly medium like flawlessly seasoned tinto de verano doubled taste steak asked couple experience equally impressed chatted bit staff newly made friend asked check cost euro taste fun called real class get customer base yet keep price reasonable thanked server mawel leaving much want start tapa experience barcelona want taste real deal go cerveceria catalana worth wait quality service highly recommended,0.21221380471380477,0.43058922558922563
14,30-11-2021 ,5.0,know restaurant since attended many time business barcelona quality still really high went end november colleague expanded restaurant quality still excellent,0.5533333333333333,0.68
15,29-11-2021 ,5.0,absolute high quality restaurant best tapa ever eat fresh made dessert super w wife kid enjoyed,0.4155555555555555,0.601111111111111
16,23-11-2021 ,5.0,amazing place quiet quick serve amazing tapa taste super friendly staff ready help query,0.34880952380952385,0.6142857142857142
17,19-11-2021 ,4.0,liked lunch sure getting everyone nice service food good may try get hubby go,0.6000000000000001,0.8222222222222223
18,17-11-2021 ,5.0,went recommendation several site opinion great place tourist huge variety menu high quality food drink barcelona,0.34,0.5475
19,13-11-2021 ,2.0,really long wait people clearly happy working disorganized look lost desperate taking care long waiting food good find place better one barcelona hope improve service place nice,0.2714285714285714,0.7000000000000001
20,27-10-2021 ,5.0,visited restaurant twice five day vacation barcelona absolutely best tapa restaurant barcelona food fantastic drink wine good overall experience definitely staff friendly service minded possible book table recommend come early prepared wait seated great experience,0.375,0.5388888888888889
21,15-10-2021 ,1.0,two hour waiting half menu unavailable bottle wine drank outside something waiter waiting waiter started tell u definitely recommended system listing people outside mess reservation everyone packed front restaurant employee tell poor service,-0.12361111111111112,0.2569444444444444
22,10-10-2021 ,5.0,tapa amazing waiter helpful suggesting top recommendation many order absolutely loved,0.575,0.675
23,8-10-2021 ,5.0,variety dish dizzying amazing server quick expect much english every single dish tasteful fun loved,0.3103174603174603,0.43571428571428567
24,4-10-2021 ,5.0,always place especially breakfast barcelona never disappointed tasty food busy service always landmark,0.15833333333333333,0.6833333333333332
25,1-10-2021 ,5.0,great time visited come back next day eat good really friendly accommodating long queue worth raquel server best recommended lot popular tapa disappoint good seafood fresh properly cooked grilled fig fresh mushroom egg yolk divine everything served nice hot garlic shrimp galician clam grilled cuttlefish many definitely order staff absolutely friendly,0.37499999999999994,0.47777777777777775
